,,,,,,,,
,No.,Brand,Category,Country,Official,ShopeeMall,iHerb,Followers Count
,106,Elizavecca,Hair / Body,Korea,No,No,Yes,
,107,Goongbe,Hair / Body,Korea,Yes,Yes,Yes,
,108,Grafen,Hair / Body,Korea,Yes,Yes,No,
,109,Illiyoon,Hair / Body,Korea,Yes,Yes,No,
,110,Julyme,Hair / Body,Korea,Yes,Yes,No,
,111,Kopher,Hair / Body,Korea,Yes,Yes,No,
,112,Kundal,Hair / Body,Korea,Yes,Yes,Yes,
,113,Lilyeve,Hair / Body,Korea,Yes,Yes,No,
,114,LABO-H,Hair / Body,Korea,No,No,No,
,115,mise en scene,Hair / Body,Korea,Yes,Yes,No,
,116,NARD,Hair / Body,Korea,Yes,Yes,No,
,117,Ryo,Hair / Body,Korea,Yes,Yes,No,
,118,Somebymi,Hair / Body,Korea,Yes,Yes,Yes,
,119,Seapuri,Hair / Body,Korea,Yes,Yes,Yes,
,120,UNOVE,Hair / Body,Korea,Yes,Yes,No,
,121,Skintific,Skincare,China,,Yes,No,
,122,AHC,Skincare,Korea,,No,No,
,123,Su:m37,Skincare,Korea,,Yes,No,
,124,Sulwhasoo,Skincare,Korea,,Yes,No,
,125,Glad2Glow,Skincare/ Cosmetics,Indonesia,,Yes,No,
